Duracion;MejorMin;MejorXY;MejorIteracion
0.0049319999998260755;-810.819919393243;(508.4935435133334, 371.8784420316074);19
0.006432700000004843;-848.8385836378347;(512.3093066682478, 375.83951704455336);19
0.005821499999910884;-877.5888066700793;(515.5205831387018, 378.99588917257955);18
0.010743400000137626;-909.5035503710824;(519.7411376633265, 383.16873728020863);18
0.005609499999991385;-920.157962284945;(521.3172162339908, 384.8396178600567);17
0.008553899999697023;-946.1027833984988;(525.7779554271194, 389.18711591439376);18
0.005657199999859586;-957.7099877723131;(527.9897342241402, 391.4679952502031);18
0.008481899999878806;-971.7525767204831;(531.7428007908231, 395.1796471536524);19
0.005435900000065885;-979.7640160130109;(534.7229002810013, 398.2112025205063);12
0.006056299999727344;-981.8687750487692;(535.7665953711569, 399.2458500062066);16
